id,name,slug,category,address,phone,website,opening_hours,latitude,longitude,google_place_id,osm_id,osm_match_confidence
apify-ChIJEdOiMPjxGA0RrxWZwXMy2Gw,A Adega,a-adega,Restaurante,"R. Dr. Guilherme Nunes Godinho, 2080-562 Fazendas de Almeirim, Portugal",+351966679820,,,39.1834052,-8.5912663,ChIJEdOiMPjxGA0RrxWZwXMy2Gw,,
apify-ChIJN9OMwTPxGA0RIzH-fk0bb7o,A Tasca do Bronze,a-tasca-do-bronze,Restaurante,"Rua de Coruche 141, 2080-094 Almeirim, Portugal",+351243107950,,,39.2036441,-8.6284277,ChIJN9OMwTPxGA0RIzH-fk0bb7o,,
apify-ChIJt22kyxLlGA0R5nUOay1Un9k,A Vieirinha de Benfica,a-vieirinha-de-benfica,Restaurante,"R. Direita 272, 2080-998, Portugal",+351243581333,https://pt-pt.facebook.com/pages/category/Portuguese-Restaurant/Vieirinha-de-Benfica-1150716428319847/,,39.1413555,-8.6909124,ChIJt22kyxLlGA0R5nUOay1Un9k,,
apify-ChIJfzzdx6LwGA0RSEM8WsIMwRg,Adega Novo Conceito,adega-novo-conceito,Adega,"R. João de Deus 80, 2080-576 Fazendas de Almeirim, Portugal",+351243103772,,,39.1790926,-8.5927375,ChIJfzzdx6LwGA0RSEM8WsIMwRg,,
9762a71a4e49,Amigos do Tacho,amigos-do-tacho,Restaurante,"Rua de Alpiarça, 2080-091, Almeirim",+351933161529,https://www.facebook.com/amigosdotacho,,39.2158629,-8.6216289,ChIJA5lPKqnxGA0RXeYalZiFy54,node-12697287553,1
apify-ChIJZbxVHVDwGA0RVrjKQWW3Zkg,António G Oliveira Caeiro (almeirim),antonio-g-oliveira-caeiro-almeirim,Restaurante,"Rua de Coruche 141, 2080-174 Almeirim, Portugal",+351243597505,,,39.2077444,-8.6317879,ChIJZbxVHVDwGA0RVrjKQWW3Zkg,,
apify-ChIJvZfmslHwGA0RfA_pIeFz60U,"Artur Correia Da Silva & Filhos, Lda.",artur-correia-da-silva-filhos-lda,Restaurante,"R. Ilha da Madeira 16, 2080-030 Almeirim, Portugal",+351243579797,,,39.2011533,-8.6259546,ChIJvZfmslHwGA0RfA_pIeFz60U,,
apify-ChIJubjwglnwGA0RlPfNuXR34Q8,Bagga,bagga,Restaurante,"Rua do Matadouro Municipal 119, 2080-000 Almeirim, Portugal",+351243594410,http://www.bagga.pt/,,39.1957908,-8.6210242,ChIJubjwglnwGA0RlPfNuXR34Q8,,
c08e70a0d832,Bar Ponto G.,bar-ponto-g,cafe,Almeirim,,,,39.2134539,-8.6194875,,way-506045240,1
apify-ChIJh9YeCd_xGA0RbfqZPt0SyS8,Boavida Bar,boavida-bar,Café,"R. Dom João IV 52, Fazendas de Almeirim, Portugal",+351243596372,,,39.1791683,-8.5818636,ChIJh9YeCd_xGA0RbfqZPt0SyS8,,
39190f0ca94c,Bodega El Touciño,bodega-el-toucino,cafe,Almeirim,,,,39.2032113,-8.6271401,,node-4396463675,1
apify-ChIJizaPv2PxGA0Rj4WCyAoRIbA,"Bom café ""café motard""",bom-cafe-cafe-motard,Lanchonete,"R. de Alpiarça, 2080-091 Almeirim, Portugal",,https://www.facebook.com/share/1F689JiKbh/,,39.2115114,-8.6259431,ChIJizaPv2PxGA0Rj4WCyAoRIbA,,
e166273c4fbc,Café a Flor,cafe-a-flor,cafe,Almeirim,,,,39.209079,-8.6295294,,way-506127312,1
apify-ChIJz-glwb3wGA0RUP3TH0J6ChY,Café Até K Enfim,cafe-ate-k-enfim,Lanchonete,"R. Mal. Craveiro Lopes 10, Fazendas de Almeirim, Portugal",,,,39.18378,-8.592495,ChIJz-glwb3wGA0RUP3TH0J6ChY,,
apify-ChIJaVCz66rxGA0RknnzI4GYwz8,Cafe Cantinho Da Amizade,cafe-cantinho-da-amizade,Café,"Almeirim, Portugal",,,,39.2103022,-8.6176461,ChIJaVCz66rxGA0RknnzI4GYwz8,,
apify-ChIJU5_zILPxGA0Rk0eHY5yB78U,Café Central,cafe-central,Café,"R. Manuel Andrade 11, 2080-125 Almeirim, Portugal",,,,39.2090056,-8.6299173,ChIJU5_zILPxGA0Rk0eHY5yB78U,,
apify-ChIJb82tjhtYGA0Rs5ZC0pClAjs,Café Cervejaria,cafe-cervejaria,Café,"Fazendas de Almeirim, Portugal",,,,39.1839332,-8.4695323,ChIJb82tjhtYGA0Rs5ZC0pClAjs,,
apify-ChIJNW83VTX4GA0R31kjGXX5kgY,Café Cigano,cafe-cigano,Lanchonete,"R. Moinho de Vento 207, Paço dos Negros, 2080-640 Fazendas de Almeirim, Portugal",+351243595482,,,39.1538624,-8.5275063,ChIJNW83VTX4GA0R31kjGXX5kgY,,
apify-ChIJ33gOAh3xGA0RQuRD7jOPAyY,Café da Padilha,cafe-da-padilha,Confeitaria,"R. Adelino Novais Branco 12 2080, Almeirim, Portugal",,,,39.215089,-8.6227047,ChIJ33gOAh3xGA0RQuRD7jOPAyY,,
apify-ChIJ58bCP_fxGA0R-X64-xxWPBI,Café da tininha,cafe-da-tininha,Cafeteria,"R. Bernardo Gonçalves 84 Fração/E j, 2080-000 Almeirim, Portugal",+351938075181,,,39.208921,-8.6254504,ChIJ58bCP_fxGA0R-X64-xxWPBI,,
apify-ChIJw7XWW6z7GA0RMshGR9iCSjc,Café da Zezita,cafe-da-zezita,Cafeteria,"R. Cel. António Manuel Batista 190, Fazendas de Almeirim, Portugal",,,,39.1700733,-8.5724576,ChIJw7XWW6z7GA0RMshGR9iCSjc,,
apify-ChIJv8Nhy6_wGA0Rdb2LLDvfE-s,Café Doce Lima,cafe-doce-lima,Café,"R. João da Silva Pombas 103, Fazendas de Almeirim, Portugal",+351243599330,,,39.1796142,-8.5804829,ChIJv8Nhy6_wGA0Rdb2LLDvfE-s,,
apify-ChIJrbzUH9HxGA0R4wEdNP8khcY,Café e Petiscos O Pétó,cafe-e-petiscos-o-peto,Petiscaria,"R. Augusto do Carmo Ribeiro 5, 2080-063 Almeirim, Portugal",+351930502991,https://www.facebook.com/profile.php?id=61557662187699,,39.2050999,-8.623237,ChIJrbzUH9HxGA0R4wEdNP8khcY,,
apify-ChIJbYnEEbPxGA0R_fKjXLRBCu4,Café Império,cafe-imperio,Café,"R. Mal. Gomes da Costa 1, 2080-155 Almeirim, Portugal",+351243592196,,,39.2097484,-8.6307668,ChIJbYnEEbPxGA0R_fKjXLRBCu4,way-506274137,0.6
apify-ChIJiUrcmq7xGA0RHgg3EToRxVc,Café Motard,cafe-motard,Restaurante,"Almeirim, Portugal",,,,39.2140786,-8.6235707,ChIJiUrcmq7xGA0RHgg3EToRxVc,,
apify-ChIJd-zpeZfwGA0R4id_4eXMhME,Café Ponto de Encontro,cafe-ponto-de-encontro,Café,"R. Mal. Craveiro Lopes 2080, Fazendas de Almeirim, Portugal",+351936797061,,,39.1799548,-8.5971101,ChIJd-zpeZfwGA0R4id_4eXMhME,,
apify-ChIJGaVCm937GA0Rb9O5T0sFUhw,Cafe Restaurante Toca Da Raposa,cafe-restaurante-toca-da-raposa,Restaurante,"2080-701, Portugal",,,,39.1090573,-8.5799537,ChIJGaVCm937GA0Rb9O5T0sFUhw,,
apify-ChIJZTu7QmvlGA0RfDpqNwUxsuQ,Café Snack-Bar O Guerra,cafe-snack-bar-o-guerra,Café,"2080-329, Portugal",,,,39.1429581,-8.6867928,ChIJZTu7QmvlGA0RfDpqNwUxsuQ,,
apify-ChIJJe0Md7T5GA0RqIcDQyZ2jjs,Café taskilouko,cafe-taskilouko,Café,"Fazendas de Almeirim, Portugal",+351933622710,,,39.1482439,-8.5316866,ChIJJe0Md7T5GA0RqIcDQyZ2jjs,,
apify-ChIJH8L2eHfxGA0Re4gqUbWSebE,Cantinho da Praça,cantinho-da-praca,Restaurante de gastronomia latino-americana moderna,"Lg. da Pç. de Touros, 2080-030 Almeirim, Portugal",+351963556806,http://www.zaccafe.com/,,39.201459,-8.6273586,ChIJH8L2eHfxGA0Re4gqUbWSebE,,
apify-ChIJ3SANF7HwGA0Rw5QoGUZta0I,Canto Negro Cafe-Snack Bar,canto-negro-cafe-snack-bar,Café,"R. 24 de Julho 164, Fazendas de Almeirim, Portugal",,,,39.1843214,-8.5794806,ChIJ3SANF7HwGA0Rw5QoGUZta0I,,
apify-ChIJAQAAADTlGA0Rq8uxdfeY9-Y,"Carmo & Apolinario, Lda.",carmo-apolinario-lda,Restaurante,"Rua D. Eugenia Manuel, 53, Benfica Do Ribatejo, Santarém, Portugal",+351243589667,,,39.1381464,-8.6655592,ChIJAQAAADTlGA0Rq8uxdfeY9-Y,,
apify-ChIJjW4APU7wGA0RcW4yfJl7vfc,Casa das Caralhotas,casa-das-caralhotas,Lanchonete,"Almeirim, Portugal",+351243595772,https://casadascaralhotas.shop/,,39.2014534,-8.6279541,ChIJjW4APU7wGA0RcW4yfJl7vfc,,
apify-ChIJezQAOprwGA0RUSYoqFks8kw,Casa verde,casa-verde,Café,"2080-588 Fazendas de Almeirim, Portugal",,,,39.1771961,-8.6006036,ChIJezQAOprwGA0RUSYoqFks8kw,,
apify-ChIJGXoK8a7wGA0RkejVKS5q7p4,Casinha do Páteo,casinha-do-pateo,Café,"R. de São José, 2080-547 Fazendas de Almeirim, Portugal",+351243592344,,,39.1775625,-8.5793798,ChIJGXoK8a7wGA0RkejVKS5q7p4,node-8606358778,0.9
apify-ChIJeW107LLxGA0RA0Aw7wSEHuw,Churrasqueira Do Mercado (almeirim),churrasqueira-do-mercado-almeirim,Churrascaria,"Mercado Municipal, 2080-030 Almeirim, Portugal",+351243592159,,,39.2076332,-8.6258357,ChIJeW107LLxGA0RA0Aw7wSEHuw,,
apify-ChIJP2VLX0HxGA0RXysPbncoz2A,"Churrasqueira Frango da Horta ""o primo""",churrasqueira-frango-da-horta-o-primo,Restaurante,"R. Dr. Guilherme Nunes Godinho 109, 2080-562 Fazendas de Almeirim, Portugal",+351916671907,,,39.1850359,-8.5934588,ChIJP2VLX0HxGA0RXysPbncoz2A,,
